N=500	Mejor=0.000362	Peor=0.000450	Prom=0.000379
N=1000	Mejor=0.001447	Peor=0.001941	Prom=0.001522
N=2000	Mejor=0.006146	Peor=0.007681	Prom=0.005680
N=3000	Mejor=0.012498	Peor=0.016336	Prom=0.012809
N=4000	Mejor=0.022170	Peor=0.028623	Prom=0.022659
N=5000	Mejor=0.034618	Peor=0.044564	Prom=0.035642
N=6000	Mejor=0.049857	Peor=0.065186	Prom=0.052648
N=7000	Mejor=0.068231	Peor=0.087830	Prom=0.069990
N=8000	Mejor=0.088941	Peor=0.115010	Prom=0.091440
N=9000	Mejor=0.112602	Peor=0.145431	Prom=0.115465
N=10000	Mejor=0.139249	Peor=0.179195	Prom=0.142039
